X,Y,Z,class
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,1.00,1
-0.01,-0.05,0.97,1
0.03,-0.04,0.99,1
0.00,-0.06,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.99,1
0.00,-0.04,0.98,1
0.02,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.99,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.99,1
0.02,-0.04,0.98,1
0.01,-0.06,0.98,1
0.02,-0.03,0.98,1
0.01,-0.07,0.98,1
0.01,-0.03,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.99,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.06,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.99,1
0.02,-0.05,0.99,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.02,-0.05,0.99,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.99,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.99,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.99,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.99,1
0.01,-0.04,0.99,1
0.01,-0.05,0.98,1
0.02,-0.05,0.99,1
0.00,-0.05,0.98,1
0.01,-0.03,0.98,1
0.03,-0.06,0.98,1
0.00,-0.03,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.00,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.99,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.99,1
0.02,-0.05,0.98,1
0.01,-0.05,0.97,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.99,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.99,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.99,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.02,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.02,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.99,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.99,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.99,1
0.01,-0.05,0.99,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.99,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.99,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.02,-0.05,0.98,1
0.02,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.00,-0.05,0.98,1
0.02,-0.04,0.99,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.99,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.99,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.00,-0.03,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.02,-0.04,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.00,-0.04,0.98,1
0.00,-0.05,0.98,1
0.03,-0.05,0.98,1
0.00,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.00,-0.04,0.98,1
0.01,-0.05,0.98,1
0.03,-0.03,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.02,-0.05,0.98,1
